YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,WS10M,ALLSKY_SRF_ALB
2016,1,5,8,19.55,0,3.72,3.11,0.1
2016,1,5,9,23.22,0,3.78,1.88,0.12
2016,1,5,10,27.3,0,3.97,1.48,0.12
2016,1,5,11,30.65,0,4.03,1.08,0.12
2016,1,5,12,31.98,0,4.03,0.74,0.12
2016,1,5,13,32.58,0,4.03,0.47,0.13
2016,1,5,14,32.67,0,4.03,0.38,0.12
2016,1,5,15,32.19,0,4.09,0.84,0.12
2016,1,5,16,30.4,0,4.15,1.24,0.19
2016,1,5,17,26.73,0,4.15,1.93,0.18
2016,1,5,18,24.51,0,4.27,2.53,-999
2016,1,5,19,22.87,0,4.46,2.96,-999
2016,1,5,20,21.62,0,4.76,3.24,-999
2016,1,5,21,20.76,0,5.07,3.34,-999
2016,1,5,22,20.01,0,5.31,3.29,-999
2016,1,5,23,19.25,0,5.43,3.2,-999
2016,1,6,0,18.58,0,5.43,3.13,-999
2016,1,6,1,17.98,0,5.43,3.07,-999
2016,1,6,2,17.44,0,5.43,3.03,-999
2016,1,6,3,16.95,0,5.43,2.98,-999
2016,1,6,4,16.51,0,5.37,2.87,-999
2016,1,6,5,16.18,0,5.37,2.67,-999
2016,1,6,6,15.97,0,5.31,2.45,-999
2016,1,6,7,17.74,0,5.31,2,0.2
2016,1,6,8,21.29,0,5.31,2.25,0.12
2016,1,6,9,25.35,0,5.37,1.12,0.13
2016,1,6,10,29.41,0,5.43,1.57,0.13
2016,1,6,11,31.17,0,5.43,2.46,0.13
2016,1,6,12,32.17,0,5.43,2.93,0.12
2016,1,6,13,32.62,0,5.49,3.28,0.13
2016,1,6,14,32.55,0,5.55,3.49,0.12
2016,1,6,15,31.95,0,5.43,3.39,0.11
2016,1,6,16,30.35,0,5.37,2.54,0.19
2016,1,6,17,26.05,0,5.37,2.26,0.17
2016,1,6,18,24.22,0,5.37,2.61,-999
2016,1,6,19,22.9,0,5.43,2.95,-999
2016,1,6,20,21.95,0,5.49,3.16,-999
2016,1,6,21,21.19,0,5.55,3.2,-999
2016,1,6,22,20.5,0,5.62,3.18,-999
2016,1,6,23,19.84,0,5.68,3.14,-999
2016,1,7,0,19.23,0,5.68,3.08,-999
2016,1,7,1,18.63,0,5.68,3.02,-999
2016,1,7,2,18.05,0,5.68,2.94,-999
2016,1,7,3,17.49,0,5.68,2.85,-999
2016,1,7,4,16.94,0,5.68,2.77,-999
2016,1,7,5,16.35,0,5.68,2.74,-999
2016,1,7,6,15.76,0,5.62,2.75,-999
2016,1,7,7,17.19,0,5.62,3.49,0.19
2016,1,7,8,19.78,0,5.55,3.2,0.09
2016,1,7,9,23.86,0,5.62,2.31,0.12
2016,1,7,10,28.69,0,5.74,1.29,0.12
2016,1,7,11,30.82,0,5.74,0.36,0.12
2016,1,7,12,31.98,0,5.68,1.03,0.1
